vote_intention,support_biden,party,education,race,age_group,gender
Other,Yes,Other,Other,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Other,American Indian,31-61,Female
Other,Yes,Other,College,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Other,Other,White,31-61,Female
Other,No,Republican,High school,White,62-95,Female
Other,No,Republican,College,White,62-95,Female
Other,Yes,Other,College,White,62-95,Male
Other,No,Republican,Other,White,31-61,Female
Other,Yes,Republican,College,White,62-95,Female
Other,No,Other,Postgrad,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,18-30,Female
Other,Yes,Other,Postgrad,White,31-61,Male
Other,Yes,Other,High school,White,62-95,Female
Other,Yes,Democratic,College,White,31-61,Male
Other,Yes,Other,High school,White,31-61,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Other,High school,White,62-95,Male
Other,Yes,Other,Postgrad,White,18-30,Female
Other,Yes,Democratic,Other,American Indian,31-61,Female
Other,No,Republican,Other,White,31-61,Female
Other,Yes,Democratic,College,White,62-95,Male
Other,Yes,Democratic,Postgrad,Asian,31-61,Female
Other,Yes,Democratic,High school,White,62-95,Male
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,College,Black,31-61,Female
Other,Yes,Democratic,Postgrad,White,18-30,Female
Other,Yes,Other,High school,White,31-61,Female
Other,No,Republican,High school,White,62-95,Female
Other,No,Republican,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,Black,31-61,Male
Other,No,Republican,High school,White,62-95,Male
Other,Yes,Democratic,Postgrad,Asian,18-30,Male
Other,Yes,Republican,High school,White,62-95,Male
Other,Yes,Democratic,College,Black,31-61,Female
Other,No,Republican,Other,White,62-95,Male
Other,No,Other,High school,White,31-61,Female
Other,No,Republican,High school,White,62-95,Female
Other,No,Republican,High school,White,62-95,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,No,Republican,No HS,White,62-95,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,College,American Indian,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,No,Republican,High school,White,62-95,Female
Other,Yes,Democratic,Other,Black,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Other,Postgrad,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Other,Postgrad,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Other,Other,White,62-95,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,College,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,18-30,Female
Other,Yes,Other,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Other,High school,White,62-95,Male
Other,Yes,Other,High school,Black,62-95,Female
Other,No,Republican,High school,White,62-95,Male
Other,No,Other,High school,White,31-61,Male
Other,Yes,Democratic,High school,White,31-61,Male
Other,Yes,Other,High school,American Indian,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Republican,Other,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Republican,High school,White,31-61,Female
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Postgrad,Black,31-61,Male
Other,Yes,Democratic,Other,American Indian,31-61,Female
Other,Yes,Democratic,College,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,No,Democratic,High school,White,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,No,Republican,Other,White,62-95,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,College,White,31-61,Female
Other,No,Republican,High school,White,62-95,Male
Other,No,Republican,Other,White,62-95,Female
Other,No,Republican,Postgrad,White,62-95,Female
Other,Yes,Republican,Other,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,No,Other,Other,White,62-95,Female
Other,Yes,Democratic,College,American Indian,18-30,Male
Other,Yes,Democratic,College,White,62-95,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Other,Postgrad,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,College,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,College,White,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,Asian,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,No,Republican,Other,White,31-61,Female
Other,Yes,Democratic,College,White,62-95,Female
Other,No,Democratic,College,White,31-61,Male
Other,Yes,Other,Postgrad,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,18-30,Female
Other,No,Other,Other,White,62-95,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,No,Republican,High school,White,31-61,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Other,Postgrad,White,62-95,Female
Other,Yes,Republican,Other,White,31-61,Male
Other,No,Republican,Other,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Other,Postgrad,White,31-61,Male
Other,No,Republican,High school,White,62-95,Female
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Other,Black,31-61,Female
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,Other,White,18-30,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Postgrad,Black,62-95,Female
Other,Yes,Democratic,Postgrad,Black,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,American Indian,62-95,Female
Other,Yes,Democratic,High school,White,62-95,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Other,High school,White,62-95,Female
Other,Yes,Other,High school,White,62-95,Male
Other,Yes,Other,High school,White,62-95,Female
Other,Yes,Democratic,Other,American Indian,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,No,Republican,Other,Black,31-61,Female
Other,Yes,Democratic,College,Black,31-61,Female
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,College,Black,31-61,Female
Other,Yes,Democratic,College,White,18-30,Female
Other,Yes,Democratic,High school,White,62-95,Male
Other,Yes,Other,College,White,18-30,Female
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,18-30,Male
Other,Yes,Democratic,College,White,31-61,Male
Other,Yes,Other,Other,White,18-30,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,American Indian,31-61,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Republican,College,Asian,31-61,Female
Other,Yes,Republican,Other,White,31-61,Male
Other,Yes,Other,High school,White,62-95,Male
Other,Yes,Other,Other,White,31-61,Male
Other,Yes,Democratic,High school,White,31-61,Male
Other,No,Republican,High school,White,62-95,Male
Other,Yes,Democratic,College,Black,31-61,Female
Other,Yes,Other,College,White,18-30,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,No,Republican,High school,White,62-95,Female
Other,Yes,Democratic,Other,American Indian,31-61,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,No HS,White,31-61,Female
Other,No,Other,High school,White,62-95,Female
Other,Yes,Democratic,Other,Asian,18-30,Male
Other,No,Republican,High school,White,62-95,Male
Other,Yes,Democratic,Other,White,18-30,Female
Other,Yes,Other,No HS,White,31-61,Male
Other,Yes,Democratic,High school,Black,31-61,Female
Other,Yes,Democratic,Other,Black,62-95,Male
Other,Yes,Other,Other,White,18-30,Male
Other,Yes,Democratic,High school,White,62-95,Male
Other,Yes,Democratic,Other,White,18-30,Female
Other,No,Other,High school,White,62-95,Male
Other,No,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,High school,Black,31-61,Female
Other,Yes,Other,High school,White,62-95,Female
Other,Yes,Democratic,High school,White,31-61,Female
Other,No,Other,High school,White,31-61,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Republican,Other,Asian,31-61,Male
Other,Yes,Democratic,Other,American Indian,31-61,Female
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,College,American Indian,31-61,Female
Other,Yes,Democratic,Other,American Indian,31-61,Male
Other,Yes,Democratic,Other,White,18-30,Female
Other,No,Republican,College,American Indian,31-61,Female
Other,Yes,Democratic,No HS,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Other,Other,White,31-61,Male
Other,No,Republican,High school,White,62-95,Female
Other,Yes,Democratic,College,American Indian,31-61,Male
Other,No,Republican,Other,White,31-61,Female
Other,Yes,Other,College,Black,31-61,Female
Other,Yes,Democratic,College,White,31-61,Female
Other,Yes,Republican,College,White,31-61,Male
Other,Yes,Democratic,Other,American Indian,62-95,Female
Other,Yes,Other,Other,Asian,18-30,Female
Other,Yes,Democratic,College,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Democratic,Other,American Indian,62-95,Female
Other,Yes,Republican,Postgrad,White,31-61,Male
Other,Yes,Democratic,Other,Black,62-95,Female
Other,Yes,Other,Postgrad,White,62-95,Male
Other,Yes,Democratic,College,White,62-95,Male
Other,Yes,Other,Postgrad,American Indian,18-30,Female
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Male
Other,No,Republican,Other,White,31-61,Female
Other,Yes,Republican,Postgrad,White,62-95,Male
Other,No,Other,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,No,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,Black,31-61,Female
Other,Yes,Democratic,Postgrad,White,18-30,Female
Other,Yes,Other,College,White,31-61,Male
Other,Yes,Other,Other,White,31-61,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,No,Republican,Other,White,62-95,Male
Other,Yes,Other,High school,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,No,Other,Other,White,62-95,Male
Other,Yes,Democratic,Other,White,31-61,Male
Other,No,Republican,Postgrad,White,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,18-30,Female
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Other,Postgrad,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Other,Other,White,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Male
Other,No,Republican,College,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,College,White,31-61,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Other,College,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Republican,High school,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Other,Other,White,62-95,Male
Other,No,Republican,Postgrad,White,62-95,Female
Other,Yes,Other,College,White,62-95,Male
Other,Yes,Other,Other,White,62-95,Female
Other,No,Other,High school,White,31-61,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,No,Other,Other,White,62-95,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,College,White,31-61,Male
Other,Yes,Democratic,College,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Democratic,Postgrad,Black,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Other,Other,White,62-95,Male
Other,Yes,Other,College,White,62-95,Male
Other,Yes,Other,College,White,62-95,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Other,Postgrad,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,Asian,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Other,Other,White,62-95,Female
Other,No,Republican,High school,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,High school,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,18-30,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,No,Other,Other,White,62-95,Female
Other,Yes,Democratic,College,White,18-30,Male
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Republican,Other,White,62-95,Male
Other,Yes,Other,College,White,62-95,Female
Other,No,Republican,High school,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Democratic,College,White,31-61,Female
Other,Yes,Other,Postgrad,White,31-61,Male
Other,Yes,Republican,High school,White,62-95,Male
Other,Yes,Democratic,High school,White,62-95,Male
Other,Yes,Other,Postgrad,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Other,Other,Asian,18-30,Male
Other,No,Democratic,College,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,No,Other,High school,White,62-95,Male
Other,Yes,Democratic,High school,Asian,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,No,Other,High school,American Indian,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,No,Republican,Other,American Indian,62-95,Female
Other,Yes,Democratic,College,Black,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Republican,Other,White,31-61,Male
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,No,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,No HS,White,62-95,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,18-30,Male
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,High school,White,62-95,Male
Other,Yes,Other,Other,White,18-30,Male
Other,Yes,Democratic,College,White,31-61,Female
Other,Yes,Democratic,Other,Black,62-95,Male
Other,Yes,Democratic,Postgrad,White,18-30,Male
Other,No,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Other,High school,White,62-95,Female
Other,Yes,Democratic,Other,White,18-30,Female
Other,Yes,Republican,High school,White,31-61,Male
Other,Yes,Democratic,College,White,18-30,Male
Other,Yes,Democratic,High school,Black,31-61,Female
Other,No,Republican,High school,White,31-61,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,High school,White,31-61,Male
Other,Yes,Other,Other,American Indian,31-61,Female
Other,No,Republican,No HS,White,31-61,Male
Other,No,Republican,High school,White,62-95,Male
Other,Yes,Democratic,High school,White,62-95,Male
Other,Yes,Democratic,Other,American Indian,31-61,Female
Other,No,Republican,Postgrad,American Indian,31-61,Female
Other,No,Republican,High school,White,62-95,Female
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,Postgrad,Asian,18-30,Female
Other,Yes,Democratic,Other,Black,31-61,Female
Other,Yes,Democratic,Other,White,18-30,Female
Other,Yes,Republican,Other,White,18-30,Male
Other,Yes,Democratic,High school,White,18-30,Female
Other,No,Republican,Other,White,18-30,Female
Other,Yes,Democratic,College,Asian,18-30,Male
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Other,American Indian,31-61,Female
Other,Yes,Democratic,Other,American Indian,31-61,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Other,Postgrad,White,62-95,Male
Other,Yes,Democratic,College,White,31-61,Female
Other,Yes,Democratic,College,White,31-61,Male
Other,No,Republican,Postgrad,White,31-61,Male
Other,Yes,Republican,Other,White,62-95,Male
Other,No,Republican,Postgrad,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Other,College,White,31-61,Male
Other,Yes,Democratic,Other,Black,62-95,Male
Other,Yes,Democratic,Other,Black,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Other,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,No,Republican,Other,White,31-61,Male
Other,Yes,Other,College,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,No,Republican,Other,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Other,College,White,31-61,Female
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,No,Republican,College,White,62-95,Male
Other,Yes,Democratic,College,American Indian,62-95,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,Other,White,31-61,Male
Other,No,Democratic,Other,White,62-95,Female
Other,Yes,Other,Other,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Other,Asian,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Other,Postgrad,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,No,Republican,College,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Male
Other,No,Republican,College,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Republican,Other,White,62-95,Male
Other,No,Republican,Other,American Indian,31-61,Female
Other,Yes,Republican,Other,White,62-95,Male
Other,Yes,Republican,College,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Other,College,White,62-95,Male
Other,Yes,Republican,Other,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Democratic,College,White,62-95,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Male
Other,No,Republican,College,White,62-95,Male
Other,Yes,Republican,Postgrad,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,Other,White,62-95,Male
Other,No,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Republican,Other,White,62-95,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,College,White,31-61,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,College,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Republican,Other,White,18-30,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,College,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,College,White,62-95,Male
Other,Yes,Other,Postgrad,White,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,No,Republican,Other,White,62-95,Female
Other,Yes,Democratic,High school,White,62-95,Male
Other,Yes,Democratic,Postgrad,American Indian,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Other,Black,62-95,Female
Other,Yes,Democratic,Postgrad,American Indian,31-61,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,No,Republican,College,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Other,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Other,College,American Indian,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Other,American Indian,31-61,Male
Other,Yes,Other,Other,White,18-30,Female
Other,Yes,Democratic,High school,White,62-95,Female
Other,Yes,Democratic,College,White,18-30,Male
Other,Yes,Democratic,College,White,31-61,Female
Other,Yes,Democratic,College,White,31-61,Female
Other,No,Republican,Postgrad,White,31-61,Female
Other,Yes,Democratic,College,White,31-61,Female
Other,Yes,Democratic,College,Black,31-61,Female
Other,Yes,Other,Postgrad,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Other,Black,62-95,Female
Other,No,Republican,Other,White,18-30,Male
Other,Yes,Democratic,High school,White,62-95,Female
Other,No,Republican,Other,White,31-61,Female
Other,Yes,Democratic,College,American Indian,62-95,Female
Other,Yes,Other,Other,Black,31-61,Male
Other,Yes,Other,Other,Asian,31-61,Male
